price,retail_price,currency_buyer,units_sold,uses_ad_boosts,rating,rating_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,theme,crawl_month,id
8.0,7,EUR,10000,1,4.0,1670,0,0,0,0,"Summer,soildcolor,Plus Size,Tank,camisole,Tops,Loose,tank top,Women's Fashion,Fashion,sleeveless tops,sleeveless,Women,Lace,Casual,summerampspring",yellow,M,50,Livraison standard,3,0,30,50,,,CN,keepahorse,keepahorse,"88 % avis positifs (66,644 notes)",66644,4.137581777804454,577fb2b368116418674befd9,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_577fb2b368116418674befd9.jpg,summer,2020-08,272
8.0,7,EUR,1000,0,4.0,843,1,1,0,0,"bathing suit,Plus Size,bikini set,sexy swimsuit,sexy bikini,paddedfringetasselbikinibeachswimwear,Swimwear,padded,Women's Fashion,Fashion,sexy,fashiondesign,high waist,Tassels,Waist,beach wear,Swimsuit,Bikini,splitswimsuit,Women,Monokini Swimsuits,Swimming",black,L,50,Livraison standard,3,0,37,50,,,CN,shanghaimingqidianqikejiyouxiangongsi,上海铭启电气科技有限公司,"91 % avis positifs (25,752 notes)",25752,4.256873252562908,566a3ef17233ff2686443082,0,,summer,2020-08,1515
6.0,34,EUR,100,0,4.0,10,0,0,0,0,"Summer,Vest,momshirt,Get,summer t-shirts,funnytop,tank top,Tops,Women's Fashion,Fashion,yoga top,Casual,Women,blouse,Funny,Tank,Shirt,graphic tee,sleevelessblouse,sportsamprecreation,gymwear,sleeveless,casualblouse",white,L,50,Livraison standard,2,0,41,50,,,CN,zhaodongmei,zhaodongmei,"83 % avis positifs (3,897 notes)",3897,3.928919681806518,5aacd6c1ccf0c83e5a6f3de0,0,,summer,2020-08,940
4.67,4,EUR,100,1,3.0,82,0,0,0,0,"Summer,Shorts,pants,Beach,Plus Size,beachpant,Short pants,pantsformen,Men's Fashion,trousers,Men's pants,Men Shorts,mens Trousers,Fashion,Casual,Men",lakeblue,XS,5,Livraison standard,1,0,25,50,,,CN,pookie0331,pookie0331,"87 % avis positifs (7,497 notes)",7497,4.079365079365079,583141fbfef4094e51453d9b,0,,summer,2020-08,309
8.0,11,EUR,1000,0,4.0,127,0,0,0,0,"Summer,Floral print,women dresses,fashion dress,Dress,beach dress,Floral dress,Print,slingdre,Sleeveless dress,Lace Up,V-neck,print dress,Floral,sleeveless,V-neck Dresses,Beach,Women's Fashion,Casual,Women",apricot,S,50,Livraison standard,3,0,15,50,1.0,Quantité limitée !,CN,shitongyi12683626,shitongyi12683626,91 % avis positifs (173 notes),173,4.30635838150289,5d3bc9f8e13a7e654424a4cb,0,,summer,2020-08,226
14.0,51,EUR,100,0,4.0,36,0,0,0,0,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,Round neck,Ladies,women shorts,Fashion,women t shirt,Casual,Print,tracksuitsforwomen,runningset,Necks",black,S,50,Livraison standard,4,0,42,50,,,CN,pashesa,pashesa,"(16,885 notes)",16885,3.897897542197216,58a6f41a96f1bb57840b0ed4,0,,summer,2020-08,633
3.67,9,EUR,5000,0,3.0,510,0,0,0,0,"Lace Up,lacelingerieset,Lace,lowwaistunderwear,hollowoutlingerie,Waist,florallingerie,halterlingerieset,Women's Fashion,Bikini,Lingerie,women lingerie,Lingerie Sets,sexy,sexy lace,Bikini Lingerie,Women,sexy lingerie,laceuplingerie",white,XL,15,Livraison standard,1,0,111,50,1.0,Quantité limitée !,CN,bestwsih4u,shenzhenfinejofashioncoltd,"(253,249 notes)",253249,4.070618245284286,53e4bb20ff4d6d1b68bdb6d1,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_53e4bb20ff4d6d1b68bdb6d1.jpg,summer,2020-08,38
8.0,7,EUR,50,1,4.0,6,0,0,0,0,"Summer,Fashion,Mini,Dress,slim,short sleeves,Mini dress,Women's Fashion,printed,sexy,Women Party Dress,Skirts,Cotton,slim dress,Shorts,Sleeve,summer dress,women's dress,mini skirt,Print,Short Sleeved,blousedre",brown,S,20,Livraison standard,3,0,37,50,1.0,Quantité limitée !,CN,xiakeliuxingfushi,xiakeliuxingfushi,82 % avis positifs (519 notes),519,3.7919075144508665,5b0fa1b72c3c1d2abb34f1a4,0,,summer,2020-08,203
9.0,8,EUR,5000,0,4.0,761,0,0,0,0,"Summer,Funny T Shirt,Graphic T-Shirt,letter print,cute,shortsleevestee,T Shirts,Plus Size,printed,summer tops,Women Fashion,Women,Funny,Shorts,Shirt,Pure Color,casualteeshirt,Women's Fashion,Round neck,Necks,print t-shirt,Print,o-neck,tops for women",winered,M,50,Livraison standard,3,0,55,50,,,US,Lees Closet,leescloset,"88 % avis positifs (5,819 notes)",5819,4.151916136793264,583e34bb0299bc7904a92edf,0,,summer,2020-08,1230
19.0,21,EUR,5000,0,4.0,1561,0,0,0,0,"men jeans,Fashion,Summer,rippedjean,slim,croppedjean,mensummerjean,2014menshort,Men Shorts,zippers,Jeans,trousers,summerjean,Shorts,causaljean,rippedshort,2014summermenshort",blue,26(Waist 72cm 28inch),1,Livraison standard,6,0,40,50,1.0,Quantité limitée !,CN,ailla clothing,litiannetworking,"87 % avis positifs (9,116 notes)",9116,4.092913558578323,530306fe34067e3f15c41d87,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_530306fe34067e3f15c41d87.jpg,summer,2020-08,826
12.0,11,EUR,1000,1,4.0,50,0,0,0,0,"Summer,Plus Size,long dress,Tops,Loose,V-neck,Casual,Women's Fashion,printed,summer dress,Dress,Women Fashion,Women",red,L,23,Livraison standard,3,0,31,50,1.0,Quantité limitée !,CN,dududustore,dududustore,"80 % avis positifs (3,762 notes)",3762,3.7974481658692185,5d4a717070327a03c1e7644e,0,,summer,2020-08,591
5.74,5,EUR,10000,1,4.0,2366,0,0,0,0,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,black dress,Beach,Casual,Women",white,M,1,Livraison standard,1,0,50,50,1.0,Quantité limitée !,CN,redisland,redisland,"88 % avis positifs (59,903 notes)",59903,4.153665091898569,557ed5b886d66519ff242099,1,https://s3-us-west-1.amazonaws.com/sweeper-production-merchantimage/dp_557ed5b886d66519ff242099.jpg,summer,2020-08,958
